name,link,severity,package,version,fixedBy
CVE-2026-13221,https://avd.aquasec.com/nvd/cve-2026-13221,CRITICAL,perl-base,5.40.1-6,
CVE-2026-42496,https://avd.aquasec.com/nvd/cve-2026-42496,CRITICAL,perl-base,5.40.1-6,
CVE-2026-8376,https://avd.aquasec.com/nvd/cve-2026-8376,CRITICAL,perl-base,5.40.1-6,
CVE-2026-53612,https://avd.aquasec.com/nvd/cve-2026-53612,HIGH,bsdutils,1:2.41-5,2.41.5-0+deb13u1
CVE-2026-53613,https://avd.aquasec.com/nvd/cve-2026-53613,HIGH,bsdutils,1:2.41-5,2.41.5-0+deb13u1
CVE-2026-53614,https://avd.aquasec.com/nvd/cve-2026-53614,HIGH,bsdutils,1:2.41-5,2.41.5-0+deb13u1
CVE-2026-53615,https://avd.aquasec.com/nvd/cve-2026-53615,HIGH,bsdutils,1:2.41-5,2.41.5-0+deb13u1
CVE-2026-41992,https://avd.aquasec.com/nvd/cve-2026-41992,HIGH,gzip,1.13-1,
CVE-2026-54369,https://avd.aquasec.com/nvd/cve-2026-54369,HIGH,libacl1,2.3.2-2+b1,
CVE-2026-53612,https://avd.aquasec.com/nvd/cve-2026-53612,HIGH,libblkid1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53613,https://avd.aquasec.com/nvd/cve-2026-53613,HIGH,libblkid1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53614,https://avd.aquasec.com/nvd/cve-2026-53614,HIGH,libblkid1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53615,https://avd.aquasec.com/nvd/cve-2026-53615,HIGH,libblkid1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53612,https://avd.aquasec.com/nvd/cve-2026-53612,HIGH,liblastlog2-2,2.41-5,2.41.5-0+deb13u1
CVE-2026-53613,https://avd.aquasec.com/nvd/cve-2026-53613,HIGH,liblastlog2-2,2.41-5,2.41.5-0+deb13u1
CVE-2026-53614,https://avd.aquasec.com/nvd/cve-2026-53614,HIGH,liblastlog2-2,2.41-5,2.41.5-0+deb13u1
CVE-2026-53615,https://avd.aquasec.com/nvd/cve-2026-53615,HIGH,liblastlog2-2,2.41-5,2.41.5-0+deb13u1
CVE-2026-53612,https://avd.aquasec.com/nvd/cve-2026-53612,HIGH,libmount1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53613,https://avd.aquasec.com/nvd/cve-2026-53613,HIGH,libmount1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53614,https://avd.aquasec.com/nvd/cve-2026-53614,HIGH,libmount1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53615,https://avd.aquasec.com/nvd/cve-2026-53615,HIGH,libmount1,2.41-5,2.41.5-0+deb13u1
CVE-2025-69720,https://avd.aquasec.com/nvd/cve-2025-69720,HIGH,libncursesw6,6.5+20250216-2,
CVE-2026-53612,https://avd.aquasec.com/nvd/cve-2026-53612,HIGH,libsmartcols1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53613,https://avd.aquasec.com/nvd/cve-2026-53613,HIGH,libsmartcols1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53614,https://avd.aquasec.com/nvd/cve-2026-53614,HIGH,libsmartcols1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53615,https://avd.aquasec.com/nvd/cve-2026-53615,HIGH,libsmartcols1,2.41-5,2.41.5-0+deb13u1
CVE-2026-14456,https://avd.aquasec.com/nvd/cve-2026-14456,HIGH,libssl3t64,3.5.6-1~deb13u2,
CVE-2025-69720,https://avd.aquasec.com/nvd/cve-2025-69720,HIGH,libtinfo6,6.5+20250216-2,
CVE-2026-53612,https://avd.aquasec.com/nvd/cve-2026-53612,HIGH,libuuid1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53613,https://avd.aquasec.com/nvd/cve-2026-53613,HIGH,libuuid1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53614,https://avd.aquasec.com/nvd/cve-2026-53614,HIGH,libuuid1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53615,https://avd.aquasec.com/nvd/cve-2026-53615,HIGH,libuuid1,2.41-5,2.41.5-0+deb13u1
CVE-2026-53612,https://avd.aquasec.com/nvd/cve-2026-53612,HIGH,login,1:4.16.0-2+really2.41-5,2.41.5-0+deb13u1
CVE-2026-53613,https://avd.aquasec.com/nvd/cve-2026-53613,HIGH,login,1:4.16.0-2+really2.41-5,2.41.5-0+deb13u1
CVE-2026-53614,https://avd.aquasec.com/nvd/cve-2026-53614,HIGH,login,1:4.16.0-2+really2.41-5,2.41.5-0+deb13u1
CVE-2026-53615,https://avd.aquasec.com/nvd/cve-2026-53615,HIGH,login,1:4.16.0-2+really2.41-5,2.41.5-0+deb13u1
CVE-2026-53612,https://avd.aquasec.com/nvd/cve-2026-53612,HIGH,mount,2.41-5,2.41.5-0+deb13u1
CVE-2026-53613,https://avd.aquasec.com/nvd/cve-2026-53613,HIGH,mount,2.41-5,2.41.5-0+deb13u1
CVE-2026-53614,https://avd.aquasec.com/nvd/cve-2026-53614,HIGH,mount,2.41-5,2.41.5-0+deb13u1
CVE-2026-53615,https://avd.aquasec.com/nvd/cve-2026-53615,HIGH,mount,2.41-5,2.41.5-0+deb13u1
CVE-2025-69720,https://avd.aquasec.com/nvd/cve-2025-69720,HIGH,ncurses-base,6.5+20250216-2,
CVE-2025-69720,https://avd.aquasec.com/nvd/cve-2025-69720,HIGH,ncurses-bin,6.5+20250216-2,
CVE-2026-14456,https://avd.aquasec.com/nvd/cve-2026-14456,HIGH,openssl,3.5.6-1~deb13u2,
CVE-2026-14456,https://avd.aquasec.com/nvd/cve-2026-14456,HIGH,openssl-provider-legacy,3.5.6-1~deb13u2,
CVE-2026-42497,https://avd.aquasec.com/nvd/cve-2026-42497,HIGH,perl-base,5.40.1-6,
